número_pokedex,nombre_japonés,nombre,Evolución,habilidades,contra_bicho,contra_siniestro,contra_dragón,contra_eléctrico,contra_hada,contra_lucha,contra_fuego,contra_volador,contra_fantasma,contra_planta,contra_tierra,contra_hielo,contra_normal,contra_veneno,contra_psíquico,contra_roca,contra_acero,contra_agua,ataque,pasos_base_huevo,felicidad_base,total_base,tasa_captura,clasificación,defensa,crecimiento_experiencia,altura_m,hp,ataque_especial,defensa_especial,velocidad,tipo1,tipo2,peso_kg,generación,es_legendario
396,Mukkuruムックル,Starly,Staravia,"['Keen Eye', 'Reckless']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,55,3840,70,245,255,Starling Pokémon,30,1059860,0.3,40,30,30,60,normal,flying,2.0,4,0
397,Mukubirdムクバード,Staravia,Staraptor,"['Intimidate', 'Reckless']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,75,3840,70,340,120,Starling Pokémon,50,1059860,0.6,55,40,40,80,normal,flying,15.5,4,0
398,Mukuhawkムクホーク,Staraptor,No evoluciona,"['Intimidate', 'Reckless']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,120,3840,70,485,45,Predator Pokémon,70,1059860,1.2,85,50,60,100,normal,flying,24.9,4,0
399,Bippaビッパ,Bidoof,Bibarel,"['Simple', 'Unaware', 'Moody']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45,3840,70,250,255,Plump Mouse Pokémon,40,1000000,0.5,59,35,40,31,normal,NINGUNO,20.0,4,0
400,Beadaruビーダル,Bibarel,No evoluciona,"['Simple', 'Unaware', 'Moody']",1.0,1.0,1.0,2.0,1.0,2.0,0.5,1.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,85,3840,70,410,127,Beaver Pokémon,60,1000000,1.0,79,55,60,71,normal,water,31.5,4,0
401,Korobohshiコロボーシ,Kricketot,Kricketune,"['Shed Skin', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,25,3840,70,194,255,Cricket Pokémon,41,1059860,0.3,37,25,41,25,bug,NINGUNO,2.2,4,0
402,Korotockコロトック,Kricketune,No evoluciona,"['Swarm', 'Technician']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,85,3840,70,384,45,Cricket Pokémon,51,1059860,1.0,77,55,51,65,bug,NINGUNO,25.5,4,0
403,Kolinkコリンク,Shinx,Luxio,"['Rivalry', 'Intimidate', 'Guts']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,65,5120,70,263,235,Flash Pokémon,34,1059860,0.5,45,40,34,45,electric,NINGUNO,9.5,4,0
404,Luxioルクシオ,Luxio,Luxray,"['Rivalry', 'Intimidate', 'Guts']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,5120,100,363,120,Spark Pokémon,49,1059860,0.9,60,60,49,60,electric,NINGUNO,30.5,4,0
405,Rentorarレントラー,Luxray,No evoluciona,"['Rivalry', 'Intimidate', 'Guts']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,120,5120,70,523,45,Gleam Eyes Pokémon,79,1059860,1.4,80,95,79,70,electric,NINGUNO,42.0,4,0
406,Subomieスボミー,Budew,Roselia,"['Natural Cure', 'Poison Point', 'Leaf Guard']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,30,5120,70,280,255,Bud Pokémon,35,1059860,0.2,40,50,70,55,grass,poison,1.2,4,0
407,Roseradeロズレイド,Roserade,No evoluciona,"['Natural Cure', 'Poison Point', 'Technician']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,70,5120,70,515,75,Bouquet Pokémon,65,1059860,0.9,60,125,105,90,grass,poison,14.5,4,0
408,Zugaidosズガイドス,Cranidos,Rampardos,"['Mold Breaker', 'Sheer Force']",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,125,7680,70,350,45,Head Butt Pokémon,40,600000,0.9,67,30,30,58,rock,NINGUNO,31.5,4,0
409,Rampaldラムパルド,Rampardos,No evoluciona,"['Mold Breaker', 'Sheer Force']",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,165,7680,70,495,45,Head Butt Pokémon,60,600000,1.6,97,65,50,58,rock,NINGUNO,102.5,4,0
410,Tatetopsタテトプス,Shieldon,Bastiodon,"['Sturdy', 'Soundproof']",0.5,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0,42,7680,70,350,45,Shield Pokémon,118,600000,0.5,30,42,88,30,rock,steel,57.0,4,0
411,Toridepsトリデプス,Bastiodon,No evoluciona,"['Sturdy', 'Soundproof']",0.5,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0,52,7680,70,495,45,Shield Pokémon,168,600000,1.3,60,47,138,30,rock,steel,149.5,4,0
412,Minomucchiミノムッチ,Burmy,"['Wormadam', 'Mothim']","['Shed Skin', 'Overcoat']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,29,3840,70,224,120,Bagworm Pokémon,45,1000000,0.2,40,29,45,36,bug,NINGUNO,3.4,4,0
413,Minomadam (kusaki No Mino)ミノマダム,Wormadam,No evoluciona,"['Anticipation', 'Overcoat']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,69,3840,70,424,45,Bagworm Pokémon,95,1000000,0.5,60,69,95,36,bug,grass,6.5,4,0
414,Gamaleガーメイル,Mothim,No evoluciona,"['Swarm', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,94,3840,70,424,45,Moth Pokémon,50,1000000,0.9,70,94,50,66,bug,flying,23.3,4,0
415,Mitsuhoneyミツハニー,Combee,Vespiquen,"['Honey Gather', 'Hustle']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,30,3840,70,244,120,Tiny Bee Pokémon,42,1059860,0.3,30,30,42,70,bug,flying,5.5,4,0
416,Beequenビークイン,Vespiquen,No evoluciona,"['Pressure', 'Unnerve']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,80,3840,70,474,45,Beehive Pokémon,102,1059860,1.2,70,80,102,40,bug,flying,38.5,4,0
417,Pachirisuパチリス,Pachirisu,No evoluciona,"['Run Away', 'Pickup', 'Volt Absorb']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,45,2560,100,405,200,EleSquirrel Pokémon,70,1000000,0.4,60,45,90,95,electric,NINGUNO,3.9,4,0
418,Buoyselブイゼル,Buizel,Floatzel,"['Swift Swim', 'Water Veil']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,330,190,Sea Weasel Pokémon,35,1000000,0.7,55,60,30,85,water,NINGUNO,29.5,4,0
419,Floazelフローゼル,Floatzel,No evoluciona,"['Swift Swim', 'Water Veil']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,5120,70,495,75,Sea Weasel Pokémon,55,1000000,1.1,85,85,50,115,water,NINGUNO,33.5,4,0
420,Cherinboチェリンボ,Cherubi,"['Cherrim forma encapotada', 'Cherrim forma soleada']",['Chlorophyll'],2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,35,5120,70,275,190,Cherry Pokémon,45,1000000,0.4,45,62,53,35,grass,NINGUNO,3.3,4,0
421,Cherrimチェリム,Cherrim,No evoluciona,['Flower Gift'],2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,60,5120,70,450,75,Blossom Pokémon,70,1000000,0.5,70,87,78,85,grass,NINGUNO,9.3,4,0
422,Karanakushiカラナクシ,Shellos,Gastrodon,"['Sticky Hold', 'Storm Drain', 'Sand Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48,5120,70,325,190,Sea Slug Pokémon,48,1000000,0.3,76,57,62,34,water,NINGUNO,6.3,4,0
423,Tritodonトリトドン,Gastrodon,No evoluciona,"['Sticky Hold', 'Storm Drain', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,83,5120,70,475,75,Sea Slug Pokémon,68,1000000,0.9,111,92,82,39,water,ground,29.9,4,0
424,Etebothエテボース,Ambipom,No evoluciona,"['Technician', 'Pickup', 'Skill Link']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,5120,100,482,45,Long Tail Pokémon,66,800000,1.2,75,60,66,115,normal,NINGUNO,20.3,4,0
425,Fuwanteフワンテ,Drifloon,Drifblim,"['Aftermath', 'Unburden', 'Flare Boost']",0.25,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,2.0,0.0,0.5,1.0,2.0,1.0,1.0,50,7680,70,348,125,Balloon Pokémon,34,1640000,0.4,90,60,44,70,ghost,flying,1.2,4,0
426,Fuwarideフワライド,Drifblim,No evoluciona,"['Aftermath', 'Unburden', 'Flare Boost']",0.25,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,2.0,0.0,0.5,1.0,2.0,1.0,1.0,80,7680,70,498,60,Blimp Pokémon,44,1640000,1.2,150,90,54,80,ghost,flying,15.0,4,0
427,Mimirolミミロル,Buneary,Lopunny,"['Run Away', 'Klutz', 'Limber']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66,5120,0,350,190,Rabbit Pokémon,44,1000000,0.4,55,44,56,85,normal,NINGUNO,5.5,4,0
428,Mimilopミミロップ,Lopunny,No evoluciona,"['Cute Charm', 'Klutz', 'Limber']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,136,5120,140,580,60,Rabbit Pokémon,94,1000000,1.2,65,54,96,135,normal,NINGUNO,33.3,4,0
429,Mumargiムウマージ,Mismagius,No evoluciona,['Levitate'],0.5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,60,6400,35,495,45,Magical Pokémon,60,800000,0.9,60,105,105,105,ghost,NINGUNO,4.4,4,0
430,Dongkarasuドンカラス,Honchkrow,No evoluciona,"['Insomnia', 'Super Luck', 'Moxie']",1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,125,5120,35,505,30,Big Boss Pokémon,52,1059860,0.9,100,105,52,71,dark,flying,27.3,4,0
431,Nyarmarニャルマー,Glameow,Purugly,"['Limber', 'Own Tempo', 'Keen Eye']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55,5120,70,310,190,Catty Pokémon,42,800000,0.5,49,42,37,85,normal,NINGUNO,3.9,4,0
432,Bunyattoブニャット,Purugly,No evoluciona,"['Thick Fat', 'Own Tempo', 'Defiant']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,82,5120,70,452,75,Tiger Cat Pokémon,64,800000,1.0,71,64,59,112,normal,NINGUNO,43.8,4,0
433,Lisyanリーシャン,Chingling,Chimecho,['Levitate'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,30,6400,70,285,120,Bell Pokémon,50,800000,0.2,45,65,50,45,psychic,NINGUNO,0.6,4,0
434,Skunpuuスカンプー,Stunky,No evoluciona,"['Stench', 'Aftermath', 'Keen Eye']",1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,63,5120,70,329,225,Skunk Pokémon,47,1000000,0.4,63,41,41,74,poison,dark,19.2,4,0
435,Skutankスカタンク,Skuntank,No evoluciona,"['Stench', 'Aftermath', 'Keen Eye']",1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,93,5120,70,479,60,Skunk Pokémon,67,1000000,1.0,103,71,61,84,poison,dark,38.0,4,0
436,Dohmirrorドーミラー,Bronzor,Bronzong,"['Levitate', 'Heatproof', 'Heavy Metal']",1.0,2.0,0.5,1.0,0.5,1.0,2.0,0.5,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0,24,5120,70,300,255,Bronze Pokémon,86,1000000,0.5,57,24,86,23,steel,psychic,60.5,4,0
437,Dohtakunドータクン,Bronzong,No evoluciona,"['Levitate', 'Heatproof', 'Heavy Metal']",1.0,2.0,0.5,1.0,0.5,1.0,2.0,0.5,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0,89,5120,70,500,90,Bronze Bell Pokémon,116,1000000,1.3,67,79,116,33,steel,psychic,187.0,4,0
438,Usohachiウソハチ,Bonsly,Sudowoodo,"['Sturdy', 'Rock Head', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,80,5120,70,290,255,Bonsai Pokémon,95,1000000,0.5,50,10,45,10,rock,NINGUNO,15.0,4,0
439,Maneneマネネ,Mime Jr.,Mr. Mime,"['Soundproof', 'Filter', 'Technician']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,25,6400,70,310,145,Mime Pokémon,45,1000000,0.6,20,70,90,60,psychic,fairy,13.0,4,0
440,Pinpukuピンプク,Happiny,Chansey,"['Natural Cure', 'Serene Grace', 'Friend Guard']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,10240,140,220,130,Playhouse Pokémon,5,800000,0.6,100,15,65,30,normal,NINGUNO,24.4,4,0
441,Perapペラップ,Chatot,No evoluciona,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,65,5120,35,411,30,Music Note Pokémon,45,1059860,0.5,76,92,42,91,normal,flying,1.9,4,0
442,Mikarugeミカルゲ,Spiritomb,No evoluciona,"['Pressure', 'Infiltrator']",1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,92,7680,70,485,100,Forbidden Pokémon,108,1000000,1.0,50,92,108,35,ghost,dark,108.0,4,0
443,Fukamaruフカマル,Gible,Gabite,"['Sand Veil', 'Rough Skin']",1.0,1.0,2.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0,70,10240,70,300,45,Land Shark Pokémon,45,1250000,0.7,58,40,45,42,dragon,ground,20.5,4,0
444,Gabiteガバイト,Gabite,Garchomp,"['Sand Veil', 'Rough Skin']",1.0,1.0,2.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0,90,10240,70,410,45,Cave Pokémon,65,1250000,1.4,68,50,55,82,dragon,ground,56.0,4,0
445,Gaburiasガブリアス,Garchomp,No evoluciona,"['Sand Veil', 'Rough Skin']",1.0,1.0,2.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0,170,10240,70,700,45,Mach Pokémon,115,1250000,1.9,108,120,95,92,dragon,ground,95.0,4,0
446,Gonbeゴンベ,Munchlax,Snorlax,"['Pickup', 'Thick Fat', 'Gluttony']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,85,10240,70,390,50,Big Eater Pokémon,40,1250000,0.6,135,40,85,5,normal,NINGUNO,105.0,4,0
447,Rioluリオル,Riolu,Lucario,"['Steadfast', 'Inner Focus', 'Prankster']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,70,6400,70,285,75,Emanation Pokémon,40,1059860,0.7,40,35,40,60,fighting,NINGUNO,20.2,4,0
448,Lucarioルカリオ,Lucario,No evoluciona,"['Steadfast', 'Inner Focus', 'Justified']",0.25,0.5,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,2.0,0.5,0.5,0.0,1.0,0.25,0.5,1.0,145,6400,70,625,45,Aura Pokémon,88,1059860,1.2,70,140,70,112,fighting,steel,54.0,4,0
449,Hippopotasヒポポタス,Hippopotas,Hippowdon,"['Sand Stream', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,72,7680,70,330,140,Hippo Pokémon,78,1250000,0.8,68,38,42,32,ground,NINGUNO,49.5,4,0
450,Kabaldonカバルドン,Hippowdon,No evoluciona,"['Sand Stream', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,112,7680,70,525,60,Heavyweight Pokémon,118,1250000,2.0,108,68,72,47,ground,NINGUNO,300.0,4,0
451,Scorupiスコルピ,Skorupi,Drapion,"['Battle Armor', 'Sniper', 'Keen Eye']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,50,5120,70,330,120,Scorpion Pokémon,90,1250000,0.8,40,30,55,65,poison,bug,12.0,4,0
452,Dorapionドラピオン,Drapion,No evoluciona,"['Battle Armor', 'Sniper', 'Keen Eye']",1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,90,5120,70,500,45,Ogre Scorp Pokémon,110,1250000,1.3,70,60,75,95,poison,dark,61.5,4,0
453,Gureggruグレッグル,Croagunk,Toxicroak,"['Anticipation', 'Dry Skin', 'Poison Touch']",0.25,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,0.5,2.0,1.0,1.0,0.5,4.0,0.5,1.0,1.0,61,2560,100,300,140,Toxic Mouth Pokémon,40,1000000,0.7,48,61,40,50,poison,fighting,23.0,4,0
454,Dokurogドクロッグ,Toxicroak,No evoluciona,"['Anticipation', 'Dry Skin', 'Poison Touch']",0.25,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,0.5,2.0,1.0,1.0,0.5,4.0,0.5,1.0,1.0,106,5120,70,490,75,Toxic Mouth Pokémon,65,1000000,1.3,83,86,65,85,poison,fighting,44.4,4,0
455,Muskippaマスキッパ,Carnivine,No evoluciona,['Levitate'],2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,100,6400,70,454,200,Bug Catcher Pokémon,72,1250000,1.4,74,90,72,46,grass,NINGUNO,27.0,4,0
456,Keikouoケイコウオ,Finneon,Lumineon,"['Swift Swim', 'Storm Drain', 'Water Veil']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,49,5120,70,330,190,Wing Fish Pokémon,56,600000,0.4,49,49,61,66,water,NINGUNO,7.0,4,0
457,Neolantネオラント,Lumineon,No evoluciona,"['Swift Swim', 'Storm Drain', 'Water Veil']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,69,5120,70,460,75,Neon Pokémon,76,600000,1.2,69,69,86,91,water,NINGUNO,24.0,4,0
458,Tamantaタマンタ,Mantyke,Mantine,"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,20,6400,70,345,25,Kite Pokémon,50,1250000,1.0,45,60,120,50,water,flying,65.0,4,0
459,Yukikaburiユキカブリ,Snover,Abomasnow,"['Snow Warning', 'Soundproof']",2.0,1.0,1.0,0.5,1.0,2.0,4.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,2.0,2.0,0.5,62,5120,70,334,120,Frosted Tree Pokémon,50,1250000,1.0,60,62,60,40,grass,ice,50.5,4,0
460,Yukinoohユキノオー,Abomasnow,No evoluciona,"['Snow Warning', 'Soundproof']",2.0,1.0,1.0,0.5,1.0,2.0,4.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,2.0,2.0,0.5,132,5120,70,594,60,Frosted Tree Pokémon,105,1250000,2.2,90,132,105,30,grass,ice,135.5,4,0
461,Manyulaマニューラ,Weavile,No evoluciona,"['Pressure', 'Pickpocket']",2.0,0.5,1.0,1.0,2.0,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0,120,5120,35,510,45,Sharp Claw Pokémon,65,1059860,1.1,70,45,85,125,dark,ice,34.0,4,0
462,Jibacoilジバコイル,Magnezone,No evoluciona,"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,70,5120,70,535,30,Magnet Area Pokémon,115,1000000,1.2,70,130,90,60,electric,steel,180.0,4,0
463,Berobeltベロベルト,Lickilicky,No evoluciona,"['Own Tempo', 'Oblivious', 'Cloud Nine']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,85,5120,70,515,30,Licking Pokémon,95,1000000,1.7,110,80,95,50,normal,NINGUNO,140.0,4,0
464,Dosidonドサイドン,Rhyperior,No evoluciona,"['Lightningrod', 'Solid Rock', 'Reckless']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,140,5120,70,535,30,Drill Pokémon,130,1250000,2.4,115,55,55,40,ground,rock,282.8,4,0
465,Mojumboモジャンボ,Tangrowth,No evoluciona,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,100,5120,70,535,30,Vine Pokémon,125,1000000,2.0,100,110,50,50,grass,NINGUNO,128.6,4,0
466,Elekibleエレキブル,Electivire,No evoluciona,"['Motor Drive', 'Vital Spirit']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,123,6400,70,540,30,Thunderbolt Pokémon,67,1000000,1.8,75,95,85,95,electric,NINGUNO,138.6,4,0
467,Booburnブーバーン,Magmortar,No evoluciona,"['Flame Body', 'Vital Spirit']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,95,6400,70,540,30,Blast Pokémon,67,1000000,1.6,75,125,95,83,fire,NINGUNO,68.0,4,0
468,Togekissトゲキッス,Togekiss,No evoluciona,"['Hustle', 'Serene Grace', 'Super Luck']",0.25,0.5,0.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,50,2560,70,545,30,Jubilee Pokémon,95,800000,1.5,85,120,115,80,fairy,flying,38.0,4,0
469,Megayanmaメガヤンマ,Yanmega,No evoluciona,"['Speed Boost', 'Tinted Lens', 'Frisk']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,76,5120,70,515,30,Ogre Darner Pokémon,86,1000000,1.9,86,116,56,95,bug,flying,51.5,4,0
470,Leafiaリーフィア,Leafeon,No evoluciona,"['Leaf Guard', 'Chlorophyll']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,110,8960,35,525,45,Verdant Pokémon,130,1000000,1.0,65,60,65,95,grass,NINGUNO,25.5,4,0
471,Glaciaグレイシア,Glaceon,No evoluciona,"['Snow Cloak', 'Ice Body']",1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,60,8960,35,525,45,Fresh Snow Pokémon,110,1000000,0.8,65,130,95,65,ice,NINGUNO,25.9,4,0
472,Glionグライオン,Gliscor,No evoluciona,"['Hyper Cutter', 'Sand Veil', 'Poison Heal']",0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0,95,5120,70,510,30,Fang Scorp Pokémon,125,1059860,2.0,75,45,75,95,ground,flying,42.5,4,0
473,Mammooマンムー,Mamoswine,No evoluciona,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,130,5120,70,530,50,Twin Tusk Pokémon,80,1250000,2.5,110,70,60,80,ice,ground,291.0,4,0
